id,spd,len,dec,rd,dt,val
0,195,6.8,kdmmoXxkfT,i=0;l=6.8;v=F;s=195,9/29/2025,F
1,123,8.7,iWatxPHTPT,l=8.7;v=T;s=123;i=1,11/23/2025,T
2,222,8.4,pordUQ3vBa,v=T;i=2;l=8.4;s=222,11/19/2025,T
3,82,9.5,16LkodUACt,v=F;s=82;i=3;l=9.5,8/25/2025,F
4,24,7.2,SIsDeqgHgz,s=24;i=4;v=F;l=7.2,8/23/2025,F
5,110,10.7,MLgwDMCqXa,l=10.7;i=5;v=T;s=110,12/18/2025,T
6,20,6.4,FAlVl6RmrU,i=6;v=T;l=6.4;s=20,11/4/2025,T
7,236,6.9,VmpRQc8zgm,s=236;v=T;l=6.9;i=7,10/29/2025,T
8,41,9.7,RymAKXoTI5,v=T;i=8;l=9.7;s=41,8/2/2025,T
9,34,10,tLd7twEIfS,s=34;v=F;l=10.0;i=9,9/3/2025,F
10,134,6.9,X1nVRKUGfX,i=10;s=134;l=6.9;v=T,12/10/2025,T
11,180,7.6,dI4XUonIto,l=7.6;v=F;i=11;s=180,10/10/2025,F
12,243,8.5,mHTzCgxLhi,s=243;i=12;v=T;l=8.5,8/20/2025,T
13,176,9.4,QkPvsjhCWV,v=F;l=9.4;i=13;s=176,10/22/2025,F
14,204,9.1,t1uhG51EGU,v=T;l=9.1;s=204;i=14,9/8/2025,T
15,137,8.3,820WqOLu2m,v=F;i=15;l=8.3;s=137,7/26/2025,F
16,187,7.4,OCwPHNbLlj,s=187;v=F;i=16;l=7.4,11/7/2025,F
17,208,6.2,1DctVjjXSs,s=208;i=17;l=6.2;v=T,12/30/2025,T
18,203,8.4,HwyRBTeqwa,s=203;l=8.4;i=18;v=F,7/20/2025,F
19,9,5.5,NnVDRAdbES,v=T;i=19;l=5.5;s=9,9/14/2025,T
20,6,10.2,XdhFEnVQUZ,i=20;v=T;l=10.2;s=6,11/9/2025,T
21,74,5.8,S0d4yZ5Zyd,l=5.8;v=T;i=21;s=74,12/29/2025,T
22,54,9.1,9YnV3J8a69,s=54;l=9.1;i=22;v=T,7/27/2025,T
23,74,8.8,LiXFBX4Kz5,s=74;l=8.8;v=F;i=23,10/5/2025,F
24,204,10.1,IzjxoI2Kse,i=24;l=10.1;s=204;v=T,7/5/2025,T
25,211,7.1,Yt8e8jPxBt,v=T;s=211;i=25;l=7.1,9/6/2025,T
26,7,8.7,OhGkPx0f4q,v=T;l=8.7;s=7;i=26,8/3/2025,T
27,83,7.4,1zh159qtVy,v=T;i=27;s=83;l=7.4,10/3/2025,T
28,13,8.2,fIxesbdt9l,i=28;l=8.2;s=13;v=T,10/21/2025,T
29,192,10,EP3jaKlQNv,s=192;i=29;v=F;l=10.0,6/25/2025,F
30,62,10.6,ToqLVGkjEB,s=62;l=10.6;i=30;v=T,9/6/2025,T
